idx,matchtype,partid,ppartid
520,0,n512,512
521,0,n513,513
522,0,n515,515
523,0,n514,514
524,0,n516,516
525,0,n516,517
526,0,n518,518
527,1,n517,undefined
528,0,n519,519
529,0,n520,520
530,0,n521,521
531,0,n522,522
532,0,n523,523
533,0,n524,524
534,0,n525,525
535,0,n526,526
536,0,n528,528
537,0,n527,527
538,0,n529,529
539,0,n530,530
540,0,n531,531
541,0,n533,533
542,0,n534,532
543,0,n534,536
544,0,n534,539
545,0,n534,542
546,0,n535,535
547,0,n538,538
548,0,n541,541
549,0,n538,543
550,0,n541,544
551,0,n545,545
552,0,n546,546
553,0,n547,547
554,0,n548,548
555,0,n549,549
556,0,n550,550
557,0,n551,551
558,0,n552,552
559,0,n553,553
560,0,n554,554
561,0,n556,556
562,0,n555,555
563,0,n555,560
564,0,n557,557
565,0,n559,559
566,0,n558,558
567,1,n560,undefined
568,0,n561,561
569,0,n563,563
570,0,n562,562
571,0,n562,566
572,0,n564,564
573,0,n567,567
574,0,n565,565
575,0,n566,569
576,0,n568,568
577,0,n570,570
578,1,n569,undefined
579,0,n572,572
580,0,n571,571
581,0,n574,574
582,0,n573,573
583,0,n575,575
584,0,n576,576
585,0,n577,577
586,0,n579,579
587,0,n578,578
588,0,n580,580
589,0,n581,581
590,0,n582,582
591,0,n583,583
592,0,n584,584
593,0,n585,585
594,0,n586,586
595,0,n588,588
596,0,n587,587
597,0,n588,589
598,0,n590,590
599,0,n592,592
600,0,n591,591
601,0,n594,594
602,0,n594,595
603,0,n593,593
604,0,n597,597
605,0,n596,596
606,0,n598,598
607,0,n599,599
608,0,n601,601
609,0,n600,600
610,0,n602,602
611,0,n603,603
612,0,n605,605
613,0,n604,604
614,0,n606,606
615,0,n607,607
616,0,n608,608
617,0,n609,609
618,0,n611,611
619,0,n610,610
620,0,n613,613
621,0,n612,612
622,0,n615,615
623,0,n614,614
624,0,n617,617
625,0,n616,616
626,0,n618,618
627,0,n619,619
628,0,n621,621
629,0,n620,620
630,0,n623,623
631,0,n622,622
632,0,n624,624
633,0,n625,625
634,0,n626,626
635,0,n626,628
636,0,n627,627
637,1,n628,undefined
638,0,n629,629
639,0,n630,630
640,0,n632,632
641,0,n631,631
642,0,n634,634
643,0,n633,633
644,0,n636,636
645,0,n635,635
646,0,n637,637
647,0,n638,638
648,0,n638,641
649,0,n638,645
650,0,n638,648
651,0,n638,651
652,0,n638,654
653,0,n638,657
654,0,n640,640
655,1,n642,undefined
656,0,n644,644
657,0,n647,647
658,0,n649,649
659,0,n652,652
660,0,n655,655
661,0,n658,658
662,0,n659,656
663,0,n659,659
664,0,n660,660
665,0,n661,661
666,0,n662,662
667,0,n662,664
668,0,n663,663
669,1,n664,undefined
670,0,n665,665
671,0,n666,666
672,0,n667,667
673,0,n668,668
674,0,n669,669
675,0,n671,671
676,0,n670,670
677,0,n672,672
678,0,n674,674
679,0,n673,673
680,0,n673,675
681,0,n676,676
682,0,n675,677
683,0,n678,678
684,1,n677,undefined
685,0,n679,679
686,0,n680,680
687,0,n681,681
688,0,n683,683
689,0,n682,682
690,0,n684,684
691,0,n686,686
692,0,n685,685
693,0,n685,687
694,0,n688,688
695,0,n687,689
696,0,n690,690
697,1,n689,undefined
698,0,n691,691
699,0,n692,692
700,0,n693,693
701,0,n697,697
702,0,n694,694
703,0,n696,696
704,0,n696,702
705,0,n695,695
706,0,n698,698
707,0,n699,699
708,0,n700,700
709,0,n704,704
710,1,n702,undefined
711,0,n703,703
712,0,n701,701
713,0,n705,705
714,0,n706,706
715,0,n707,707
716,0,n710,710
717,0,n708,708
718,0,n709,709
719,0,n711,711
720,0,n712,712
721,0,n713,713
722,0,n714,714
